V1,gene,logfoldchanges,pvals,pvals_adj,neg_log_pvals,point_color,regulation,label
66,CMAHP,1.4227315,1.0785353763356e-115,3.81763679876265e-113,112.418205391761,red,Up,
67,KLF6,0.679964,2.2176614222937e-115,7.71440290624097e-113,112.112697682635,black,NS,
68,MYO1C,1.5363016,5.83257257964246e-115,1.99454210791299e-112,111.70015679062,red,Up,
69,CHD7,1.1581149,7.78408583934403e-115,2.61752859824342e-112,111.582108564667,red,Up,
70,ACTB,0.52188,1.39977229080415e-114,4.66806706434123e-112,111.330862913238,black,NS,
71,BTAF1,0.807244,7.53310668610223e-113,2.45141871772256e-110,109.610582502185,black,NS,
72,AHCTF1,1.097116,1.25784750315886e-112,4.0605329957973e-110,109.391416956093,red,Up,
73,TUBA1B,1.0476309,2.61866396131596e-111,8.32034080055288e-109,108.079858884675,red,Up,
74,LGALS1,1.7159356,7.10880950109161e-109,2.18973038922174e-106,105.659609354421,red,Up,
75,TAGLN2,1.0628333,1.15024481124941e-108,3.51626353208608e-106,105.453918583473,red,Up,
76,CFLAR,0.51230466,5.1233067985955e-108,1.55440357847313e-105,104.808436212595,black,NS,
77,LHFPL2,1.8110383,6.26809259964947e-107,1.873556093193e-104,103.727333299848,red,Up,
78,CASP3,1.2102395,2.22093811685329e-105,6.40137820651885e-103,102.19372651304,red,Up,
79,ZNF827,1.4911141,4.62390406067035e-105,1.32328919614305e-102,101.87834523324,red,Up,
80,CHST11,0.8629157,6.73258532638545e-105,1.91319213443877e-102,101.718241413278,black,NS,
81,BCL3,1.0863254,9.6227888171679e-105,2.71537604440811e-102,101.56617001775,red,Up,
82,CALM1,0.85679746,1.39550580046051e-104,3.91051736529044e-102,101.407765781216,black,NS,
83,HLA-B,0.504546,7.468694928123e-104,2.05018216149401e-101,100.68820754957,black,NS,
84,NET1,1.0142246,7.39080500153518e-103,2.01509299609424e-100,99.6957049064665,red,Up,
85,WARS1,1.1959813,1.81668548072896e-101,4.85476109393212e-99,98.3138321371545,red,Up,
86,SOCS3,1.473644,2.13553244237886e-101,5.63222255652757e-99,98.249320192438,red,Up,
87,FUS,0.6809125,6.24013599450796e-100,1.60383418885596e-97,96.7948405329266,black,NS,
88,ENO1,0.80466473,1.17884307215304e-98,2.99174060676222e-96,95.5240760638608,black,NS,
89,CFL1,0.70978194,1.44605424302219e-96,3.55799883014826e-94,93.4487941990459,black,NS,
90,PLEC,0.8902174,1.50459203880787e-96,3.67959381515e-94,93.434200119798,black,NS,
91,EWSR1,0.7451509,3.77589611281303e-96,9.17861204483321e-94,93.0372229862108,black,NS,
92,ARHGAP31,0.78856814,2.85994846812467e-95,6.91045752010578e-93,92.1604931983741,black,NS,
93,SLC44A1,0.851771,1.79032812064251e-94,4.30019763834325e-92,91.3665115836601,black,NS,
94,CBLB,0.804934,2.21342980152511e-94,5.28498931071842e-92,91.2769558867484,black,NS,
95,IL3RA,1.882871,5.5915478151966e-94,1.31947448794628e-91,90.8795990024513,red,Up,
96,TUBB2A,2.1566858,8.40140804590585e-94,1.97100940388601e-91,90.7053113036525,red,Up,
97,ADAR,0.56088126,2.2219218627673e-93,5.15281557507966e-91,90.2879554011365,black,NS,
98,IGF2BP2,1.3259444,2.38270085316201e-93,5.49409970438821e-91,90.2601034634679,red,Up,
99,ALPK3,3.3369377,5.60329309241504e-92,1.27742419697815e-89,88.893664861691,red,Up,
100,GNPTAB,0.90711075,7.50326357420924e-92,1.6914619650642e-89,88.7717377634973,black,NS,
101,RELT,1.0542462,1.34446383636156e-91,3.0139891513812e-89,88.5208583152277,red,Up,
102,NFKBIA,0.781744,5.92413246593891e-91,1.31346479816245e-88,87.8815815621384,black,NS,
103,MYO1G,0.67253923,1.04120010579167e-90,2.28339710157094e-88,87.6414185545526,black,NS,
104,ARHGAP26,0.96570134,8.35253350618831e-90,1.81205070990167e-87,86.741829652839,black,NS,
105,RAB11FIP1,1.0261508,1.31707108705903e-89,2.84205628369015e-87,86.5463673256154,red,Up,
106,AUH,1.1214306,3.23537601488527e-89,6.94435600811971e-87,86.1583680227972,red,Up,
107,STAT5A,0.96132827,3.11296458376466e-88,6.64626173989797e-86,85.1774225595432,black,NS,
108,FNIP2,1.4159656,5.94209192345371e-88,1.25536802772358e-85,84.9012289363513,red,Up,
109,HMSD,1.1150212,1.65797261127621e-87,3.46645133731698e-85,84.4601148921284,red,Up,
110,CAB39,0.68713325,1.67075339300394e-87,3.4751670574482e-85,84.4590243132655,black,NS,
111,RPL3,0.9364972,4.87321797321377e-87,9.98193358655441e-85,84.0007853239799,black,NS,
112,JUNB,0.9654213,6.03768034207886e-87,1.23046705638165e-84,83.909930009286,black,NS,
113,CALM2,0.8953263,9.87440899364858e-87,2.00227211915431e-84,83.6984768999755,black,NS,
114,MPPED2,1.8434662,1.45686374902726e-86,2.9393683000374e-84,83.5317459938346,red,Up,
115,ENSG00000281383,1.8036501,5.34779926408568e-85,1.06828908863557e-82,81.9713112074102,red,Up,
116,HSP90AB1,0.7651193,6.52055354638929e-85,1.28979106227402e-82,81.8894806368719,black,NS,
117,SEC14L1,0.96050984,1.18063375141154e-84,2.32394795790042e-82,81.6337736016904,black,NS,
